name,birth_date,age,children,employment,id,city,email,password,Signed_Up,Elec_January,Elec_February,Elec_March,Elec_April,Elec_May,Elec_June,Elec_July,Elec_August,Elec_September,Elec_October,Elec_Novemeber,Elec_December,Water_January,Water_February,Water_March,Water_April,Water_May,Water_June,Water_July,Water_August,Water_September,Water_October,Water_Novemeber,Water_December,Arnona
Robin Dean,1976-05-20,46,2,1,381770,Rishon_LeTsiyon,scoleman@hall.com,wo5M+vp^D@,1,351.85790442538257,318.38639368225694,25.28899746421924,108.21821286621798,130.18712032431952,168.28816432148386,245.35843942981052,65.5415609771585,217.5740971994012,85.62480325047187,84.45925795004382,277.2846921343268,8.75910378411903,10.86922417054539,13.780680002977595,13.68636809854081,11.5825703250373,13.364020602595527,10.27015631511841,14.148591271490602,9.188503412499156,12.063467607342336,12.724412177135866,16.803279239288983,891.9394672045037
Monica Martin,1966-11-21,56,2,0,264230,Ramat_Gan,amy06@kim.net,6KDw6GhT&Q,1,315.1052843569848,305.16618960533043,100.882416866453,123.7106975449895,176.1835412281005,199.02119876116012,210.9173362986972,24.213428333621536,223.3500473173072,77.92238610496864,109.04292870257258,255.48255521774604,9.334488852719558,12.721960398680467,17.45196810016099,11.102100156715498,10.124063104618672,5.31381023377293,11.062008894064242,14.563601336052592,10.93922572422002,11.128666090155267,12.27321684967442,12.384014063093291,722.8546077161567
Scott Wagner,1966-10-20,56,3,1,333606,Petah_Tikva,patrickhayley@gmail.com,qO0sNq)L8&,1,856.023413600647,802.0323597262833,304.56812473726734,563.875767390645,592.9565857825187,497.6621713140421,571.7162844096484,420.0896101885892,624.1422677327191,450.77265867985,434.5755326148778,569.2970888807992,52.26297554688088,56.328536909837766,53.92671278437624,46.48046352440549,31.831811776538284,45.2784318073242,57.53628013524542,54.0840053842598,43.50110652740032,46.33391488611579,47.73285913333774,53.525849907261055,725.2121213324972
Tony Becker,1998-05-29,24,0,1,255407,Tel_Aviv_Yaffo,weavermario@gmail.com,$N(Mfsmk1b,1,564.3676249134386,442.5818396307489,55.555936121896586,254.0862966952334,352.1852377453439,257.2663592635704,358.4844315996353,118.5726368507521,284.1963583245802,219.2819025859543,326.96893525675347,406.4742242239286,32.65849432222543,32.31093690494439,28.923333909664905,43.450350208717815,23.986209468314847,31.317761734181083,23.116020306019085,30.490488752193777,32.26254155388336,23.28791063991947,35.838459787402286,32.36705060113757,875.6337491087438
Michael Poole,1996-03-28,26,0,1,456014,Tel_Aviv_Yaffo,katie23@adams.com,!Y!1JFCtWs,1,333.90905769090006,290.3985775120196,23.87623780430846,109.32927495893924,159.182231332735,165.68046161260685,273.13928209228203,80.8096953045395,219.7872124230101,93.07944514853452,105.21984320335368,280.76252186841043,9.597851734497455,11.23672733789363,10.055481648153782,10.600034433693372,14.68906941798216,9.722779551621356,11.661275682832512,14.905941800714247,15.115091792924025,13.129640164433752,8.673166705518558,16.571143008200536,797.9287796392539
Charles Adams,1965-01-04,57,2,1,269989,Tel_Aviv_Yaffo,danielleponce@ray.com,8s4hNlIx*W,1,758.3960429860167,641.2676400115721,250.47363813100185,410.448688019955,484.1942194328661,487.1468839222822,554.6309938477035,304.07188375959095,702.0455473398035,410.6299089626104,441.5481383193365,709.7762010218619,43.1048437751874,39.71441743266367,42.75987678592656,45.96851397667011,46.13826938424723,48.32564515155334,43.41282941057765,46.03690335586824,54.48992056570499,40.8566917291584,52.320100777222805,36.96367788777077,927.1160173977904
Julie Aguilar,1977-10-24,45,2,1,406637,Tel_Aviv_Yaffo,briansmith@hayes-daniel.biz,)4YaF)vQKn,1,291.4106216220589,260.4108951485252,105.9776560606059,204.67341895705272,196.9199670610463,202.7673014337809,259.22443060597607,53.81573079597505,240.19056316666223,92.2360243155893,109.91389325894114,291.01745905014127,14.18347256129606,8.824026226509222,7.709087129898004,10.74698442494767,10.6944270734149,11.090978248407447,12.173154129599588,14.720231763148146,10.397781138142827,13.616923954820493,10.614554260671838,11.30056764098989,1178.431075137216
Eddie Contreras,1971-10-05,51,2,1,217221,Herzliya,karla65@buchanan-carpenter.info,(w4mTv4l^Q,0,360.2995127383137,259.888036468497,44.868911950841536,133.26900857679598,179.61888774926945,199.8734832856035,268.84160157504084,89.78864637126547,194.73133904679133,106.81619865107636,92.18041410134842,278.3482674210236,10.437460165046875,13.416100808751084,13.665363078329417,8.980643167194955,14.321139281900322,11.883792082174988,7.521865713342044,13.96035642350994,13.635312275490552,8.499378637497722,13.978513207794627,10.979336503851789,326.76227214424813
Lisa Steele,1999-08-11,23,0,1,218414,Tel_Aviv_Yaffo,jennifer38@hamilton-mercado.info,^JqjvFQa+0,1,490.2732002435531,375.0439246470922,55.39846939449492,133.6070170373249,243.06998219664695,396.78613573647135,455.94761740640666,85.32721311817556,401.42167221746297,210.90689363748868,231.5797256043072,515.263951643333,13.068147293989416,41.02470793539883,32.965379833437105,27.45316615897568,29.688396287117868,21.10929784537922,25.41119775008503,12.867349037606184,19.12328648186533,23.695096793758434,26.897212220311477,34.87542881136277,1003.0844094262249
Robert Stanley,1981-12-25,41,0,1,279899,Ramat_Gan,eugenejones@yahoo.com,+6BBE*B6+e,1,451.5707688797803,595.9475015095402,256.4884739397037,311.43825534723373,338.5408435738123,447.8661150527979,393.9665028686932,235.8040184535128,373.6790071393091,367.246274755022,291.46525937213136,526.4825860363769,21.276786374590262,25.08629651008411,22.470178557744944,26.471744722510145,13.82716563520721,39.94263656557915,25.2589704187545,25.675359722084178,29.38382975983481,40.342251582234375,32.927526768583526,34.060793465418854,604.6105979615774
Marissa Lopez,1960-12-29,62,3,1,466008,Ramat_Gan,carlsonvirginia@yahoo.com,VM0+g1KtYR,1,346.4104806498582,338.01571087351624,74.48347150411968,111.04660662501828,186.5326837651931,179.89730596434123,260.05148906929975,54.05022737421581,227.74601301602831,86.3378126302936,93.44502523890324,245.8286705940927,12.934190133673308,13.65221871412595,16.42720775200095,14.5439188312769,5.589875372830614,12.86899347001956,10.765969544664191,15.184325118298828,13.672730338668057,10.36374766839288,13.509010125529375,12.329426474443178,792.8548689993581
Erik James,1990-09-28,32,2,1,211900,Rishon_LeTsiyon,stephengriffin@yahoo.com,Q(0UlZffQ$,1,329.6538242090336,270.92851956832175,72.98580163847606,163.5640401916665,175.4570999619139,179.5976034600398,247.77315398072403,71.7231382737469,222.64852215875695,86.93954033618053,107.34175547945884,276.3059495695593,15.872664528416196,9.918876351162885,10.87662123370642,8.552729225393712,7.904819323615177,13.018444914212878,9.536838631096185,10.53773800689134,11.124892343725216,14.572152957024176,13.84161372977653,13.855842839785389,1162.962491314633
Kevin Adams,1961-12-10,61,3,1,437706,Herzliya,imartinez@hotmail.com,#p*!2Ondrt,1,793.9098486017401,855.0756907165156,286.3866041351504,504.478484099845,598.0356362632543,526.2972303205039,676.0817640316799,448.458913149022,563.837954498815,437.997895118414,425.0985430052896,761.061757636359,58.09966103782255,56.56013163305181,45.32419381590402,52.75016494903812,49.002567019336446,45.93248313732988,51.9730290102948,41.4531661241469,53.22772153058501,61.97003026899992,52.017140078366175,50.2871346280382,270.7387952026303
Rebecca Mcgee,1978-02-13,44,1,1,359228,Tel_Aviv_Yaffo,jenniferbarnes@hotmail.com,QtmrUp5!_2,1,327.3939129828292,313.7592948813116,24.35561419870905,121.10325269852451,212.6602304416902,150.31199911964143,237.926184623828,58.113976013444926,238.4074006006309,78.49726524701873,135.0847820364439,283.56759093975097,13.134328563056052,7.424608840622968,10.477294030283865,13.86554481525918,11.738033660352643,12.84925293031256,7.214447494561105,11.419336452088364,16.247102699963413,11.239829393899637,19.45235916233272,15.319436387550406,989.6619260728028
Ryan Murray,1969-11-29,53,2,1,299821,Rishon_LeTsiyon,snydervincent@yahoo.com,I5tYQbHd#2,1,758.307957032859,638.8550377633912,461.1747299984924,525.918197344012,467.074104176672,560.7351779527659,489.7437036826981,395.9038661401826,536.3194794585179,343.3279506443494,420.6942680011728,628.174764293121,40.21366532423959,48.20096612664959,48.89574060124107,39.18889500704721,36.76085676940187,36.96965669372052,44.56405832617219,41.75523299391568,39.43742030761447,55.353805790797125,47.808734152639325,40.88234892022383,841.0976744738879
Rachel Castaneda,1992-06-03,30,1,1,214061,Ramat_Gan,brett22@wagner-perez.com,vm2#sWqoh$,1,538.1125530489812,437.4639864081152,271.92316435808215,216.2695936974559,313.643274601496,384.0530190924074,496.0640825850682,101.10964108060293,469.4465830411606,275.8538903590008,338.750128898172,397.1084602859238,32.067697247383094,39.21091184009466,31.62778312115656,33.680269901586804,44.08999164156281,41.76266293616997,34.820663492634544,35.115050050791126,38.20041521563347,31.23838920934344,27.33769484706228,30.198637981077717,711.5200658918985
Travis Simon,1986-09-05,36,5,1,464016,Petah_Tikva,drojas@robinson-wolfe.net,%YYNd4Hgcf,1,333.5904563318994,311.750898371975,11.213646131431886,172.33227445605132,145.55985425690756,163.85846856838606,242.70594922154035,47.76127988972553,252.5944170317973,111.869205857769,101.42396951388272,260.11013854308123,13.25402742633122,12.106072467485356,11.040883734981826,10.59077438359402,10.075692475169944,16.232436558531138,17.730386540018596,15.339583764495831,15.347265323049353,15.018566620876696,9.718448648964287,9.550679557273934,592.5997926246321
Autumn Henderson,1986-04-16,36,1,0,219301,Ramat_Gan,davidhahn@harris.org,^fwQ^Ub!9c,1,601.7953595476883,539.9127963883348,150.05381387032605,330.2908417781067,244.8784562452912,373.5306961626485,430.7095781007871,109.96104400352152,352.43121789291035,320.7700655104059,277.9440659655272,475.6578767533006,32.81754726770563,43.8431029647708,38.319952301347016,30.28472569711756,42.12437664623671,30.398243470935288,41.0514607292901,37.08437670645531,28.980758778004017,34.60810908730661,44.331073325736405,28.3173015761946,652.5140953610936
William Gutierrez,1983-04-07,39,1,1,221576,Ramat_HaSharon,jasmine21@hotmail.com,+0G5ms^aRV,1,546.8124520974006,359.0821817942202,200.8150348080569,346.1283100892506,376.6010501055125,365.1392551253573,649.7015444851395,217.31668796809416,542.8207619266091,312.69577989379616,459.4703000420129,461.40306389282296,30.238789303809533,45.610549647233725,29.925815028190893,30.95469066361432,29.89736114277449,51.61908910218378,31.9122421747364,38.50019940849868,30.513354797788026,31.12996783224206,41.69556903213603,21.007488264358383,709.8461844909382
Barbara Cooper,1999-11-22,23,0,1,408490,Ramat_Gan,omaryang@yahoo.com,(24(TFtEr_,1,452.6994157729839,540.1475110747452,160.2026244378275,269.6700592573372,315.8903281954893,325.1340307187416,481.8256688274376,131.5121407647267,469.8760688474078,94.88007203270826,234.74440324013992,433.3468821081008,26.48488023347768,28.1838466798138,30.72565897093785,40.909170702023175,31.51598226600049,34.06326821096164,29.724664354216905,19.96807213932677,25.577029729212526,37.877235791566,15.911094937854914,36.35263285828528,543.0003390313383
Jacob Johnston,1999-01-11,23,0,1,332231,Tel_Aviv_Yaffo,margaretanthony@yahoo.com,$Zx$0ClvX*,1,272.34639147257536,307.88200345672254,40.50744345924368,95.8236673249041,160.901097056421,218.89499025552445,219.1708841532964,43.19449988864531,213.0392086852461,124.51361402795736,161.23073646617974,251.3404675781576,14.011761937497193,15.967155299953111,10.91920760571124,8.277413744493217,9.172083728379691,20.72372322285757,4.141103858585426,5.648902766748997,12.075061652392924,12.513254572635688,15.562383700167626,11.641918545412402,1032.2562191603524
Kathy Barnes,1980-02-09,42,4,1,469972,Tel_Aviv_Yaffo,mbarnes@clark-baxter.com,4z#5PsVh5e,1,618.2370234238623,728.8748850084813,342.8181213488149,532.3772996675922,569.2929846261643,552.9571645047524,702.0025627934541,391.7308340519597,541.9855327860788,348.98319698886985,493.4025232330199,689.2847964885628,61.90343019411559,52.66494012313888,51.5820599639749,60.27143938200323,56.03027173977184,61.47281020995497,52.843120332993855,62.156483084809466,52.033477561984974,66.48485501896215,65.00259337956174,63.07435073199887,1176.4865824470378
Marie Powell,1985-12-05,37,3,1,385544,Petah_Tikva,patricia60@smith.com,dnrC&1NdPU,1,641.1564988215974,671.9356555493813,165.1596293422452,398.8815243389533,546.6929492142048,490.9561617666592,642.951480994634,285.92245726871454,468.4499424914143,339.3778349125009,465.1898285425964,510.2293559079265,61.33844634615117,54.26358611402769,52.17331084166957,42.81005884255392,50.490629262119306,48.73020982531372,53.17437798821928,47.697280908913775,61.10853583463496,54.57885376669656,56.5650466363358,51.05748568079935,608.7439798935403
Timothy Beasley,1985-04-04,37,3,1,258364,Petah_Tikva,taramiller@hotmail.com,d1KCmEzt%8,1,643.0187515871764,678.83154942108,289.09910431272846,339.8407728301493,496.0324697730219,546.4441158912784,519.2459022286131,246.401777237306,511.261295798077,335.18602930020063,440.5604841455909,664.3904872322911,67.1199546836888,55.64286672269106,46.420561590070605,38.728704779194906,55.50519924695586,43.3978436419694,44.73049558906959,41.75137404891237,53.49158582501392,45.56937309117762,36.76195460517183,49.236606930859246,735.6170698381327
Mariah Martinez,1972-12-16,50,4,1,461634,Petah_Tikva,rthomas@gmail.com,0!89JXxazy,1,753.5923789222641,704.0233339590029,279.7521312978177,587.3638567945678,563.373616007894,704.6258879564253,671.4519175004568,301.58368960267626,687.9961331356952,455.3992004847909,636.0318234994326,635.1037534758393,51.54738356421915,55.91618839157964,66.30027187486596,57.44983064544572,57.52755080393008,58.441234621219685,56.86083606211152,52.44164310020607,67.38230566479331,66.31808901940767,63.145247053128685,61.65498818066795,732.8998906774864
Janet Sullivan,1984-11-28,38,3,1,382274,Petah_Tikva,elizabeth74@kerr.com,0MbAnzXC(8,1,524.7502181097665,671.3985417903923,320.9301077718615,569.750434032034,455.7805473101909,577.8171950326015,535.9369503778759,387.4482487740589,631.3386038247336,183.333240281578,293.70290729678135,620.0328180465484,51.931715183978426,50.40880782056095,55.45665388711177,58.21295437180721,55.8916942647148,44.57757426893448,44.09945743929232,59.61161061731564,55.20929836987943,45.822115885238766,61.18425637769889,46.86308890415504,722.5231156150004
Michelle Lewis,1992-01-03,30,3,1,256877,Petah_Tikva,stephengill@hernandez-torres.net,&a9V6B@y2!,1,613.9359560655035,497.537882664916,386.24138310217626,335.5198672321883,509.9083879949659,355.0765443747167,590.3883113583347,289.5632191163062,454.2510374611293,345.82766383940674,400.3692155542596,645.6309694696129,38.34985139877427,69.9239868778787,56.51015252093857,41.592772916971526,47.72320100001491,36.45236511365793,50.25124614736761,39.94739292882087,50.80287333538154,37.44899202320899,53.89250563691834,48.08573737600721,514.42150844468
Raymond Smith,1986-03-28,36,2,1,227677,Petah_Tikva,vwilliams@carroll.biz,rKYDd9*Y#8,1,748.5849178734203,585.7445890198752,376.396482030567,336.352498193735,324.5608035537876,525.5240817222718,609.2059680917147,246.42963603571755,531.0851437814915,315.33679421771006,338.2780474328896,499.9543792334384,48.59246926006461,33.640813727693114,39.94740989973886,45.65626999805258,45.46456445222487,33.01225856324315,50.50699016869377,39.80457173106451,35.13587076372003,44.28395924075427,43.86181062692703,45.130544166738325,666.9879551143783
James Schwartz,1991-02-18,31,3,1,292780,Petah_Tikva,ewilliams@richardson.com,4)wU3$I5np,1,321.0100800719135,339.826805768482,45.49570140899917,121.94132569353285,146.85183231098267,189.5024350198743,262.0612401055498,76.98314622271852,184.8042717174621,95.12183922521244,134.77502945459705,275.4157993299006,13.063152316447791,11.28380400083338,11.081292028731957,9.449436828494107,12.290871161829942,8.771934540619302,13.589302872012867,10.615441942691511,11.103464233645722,11.958465053256852,9.402810440689224,9.063340880385656,546.4006262926974
Paul Vaughan,1967-07-21,55,1,1,436857,Petah_Tikva,pwalton@gmail.com,!9Ppeip(uk,1,297.33605481413184,317.028730547648,24.21072031853573,175.39672075299015,164.6834733900018,181.3446512416429,209.5834032427804,57.81391577350048,210.9602760575533,79.08175084120082,117.74327278489793,236.4647506455616,13.57661556364678,6.378682954285784,15.399016989006618,9.052847294014606,13.753919353929192,12.95639039760843,9.180533204477136,4.774073494644089,12.795330353757066,10.652080492517182,8.485290530796409,6.998705816468983,640.6605413369216
Kyle Drake,1979-06-02,43,3,1,249004,Ramat_Gan,danielanderson@yahoo.com,&Cuy9LbPN8,1,307.34674943893606,320.56418886324354,51.30598721250409,112.79910065465336,144.4614691552294,185.8419261240693,182.7021589259551,3.1931409064892904,233.64650690483745,57.76951661173192,150.33141429911447,235.0764340021861,12.123174051425543,11.723127827794512,14.72169880602734,13.44583400922316,7.568916319069979,11.231507640955869,9.473872861715924,10.764653444010582,10.86324303921116,10.900791510130697,5.188594128453454,7.537760000586411,771.2725168779288
Patrick Jones,1985-01-19,37,2,1,443598,Petah_Tikva,guzmankristi@hudson-hammond.com,!F4ZhV+nH!,1,633.7177556113724,529.4202275195269,241.60055470509295,398.4320537700691,446.6493115096945,543.2436295047747,618.7351171628337,313.593382322222,462.5993249425599,440.77807557187,327.7235685337963,599.0123333889684,44.731020717697874,27.72634296633307,49.90328328871985,33.879509132446096,54.55262967696105,33.84257920961606,30.26564531020008,38.14851820629815,43.84374506698765,31.705107243380358,45.54646600891307,34.81443332712783,728.4240416114396
Susan Adams,1989-03-03,33,2,1,335521,Tel_Aviv_Yaffo,whiteantonio@yahoo.com,T#67W#jh+M,1,683.4978070507683,610.8715438522798,195.752097576021,378.68077679436607,340.9603592521083,289.04955915460846,436.1995661304461,279.7000381666523,477.2266817454274,322.2920633872072,387.2970196431175,485.1166363900269,39.42444155503778,33.32972421348762,36.628405276473686,48.19520750347214,27.269735080763628,39.87643703141774,35.396594394737214,37.2277817573375,46.917435249158736,46.12203216402772,45.04632289178243,40.82473612147635,1009.6616530517672
Chase Coleman,1968-03-05,54,1,1,465544,Petah_Tikva,gloverteresa@gmail.com,p6+)O0To&d,1,673.5665455914623,474.6924558617034,339.6400993416717,458.5129104065379,405.8273306235088,541.0089145235502,517.0057989339123,302.29809512978613,576.8025988719926,371.32218652445954,489.2479825342994,587.7246729030874,33.19306496919248,36.46345098586873,31.589299269180707,43.665545061895735,52.21002114413547,36.835568143786034,25.368823845561344,32.65702021426611,46.61691410276221,36.795185340162405,38.56503906243663,34.067724439701216,659.5416395757197
Helen Austin,1969-12-31,53,2,1,382964,Tel_Aviv_Yaffo,morrismatthew@miller-oconnor.com,#4XeQ&khZh,1,776.1935692623382,570.6558809219698,340.7006691979905,376.9381502513913,416.5227512567556,491.955075962924,559.7189450232129,330.6054000652072,555.7747241218896,494.56105801715705,547.5019760556056,689.9749489870986,41.59467237001669,44.33947378664048,34.329699635879166,47.69864853730541,40.87113747010092,51.602178265570416,56.432197113122434,40.99131951085979,39.27961901886737,47.46960097875186,40.60583331968536,37.877132903868855,1022.4108347987534
Angela Riley,1993-03-16,29,2,1,303832,Tel_Aviv_Yaffo,garydawson@thompson.com,_W%b87Me)h,1,612.2517614959191,545.2447315508308,177.29093392968548,330.6412989343353,336.3383389042728,526.4308175163541,464.42688622170783,223.50949721129405,555.7609272755632,214.34756975071863,310.8797709267277,508.9551576964728,41.387721089172274,55.81848010757695,38.26661451413022,47.88386504771509,47.45536075862799,39.45672135495399,51.570575426795045,52.64380588847504,34.69073442486075,39.66209142019918,55.14018258955106,41.47635368482854,1012.0657129109572
Robert Howard,1997-06-19,25,0,1,443839,Petah_Tikva,khawkins@bailey.com,%GY!qvlxU8,1,588.0508065316224,428.37437470486304,39.10052565635991,300.6434510164476,374.4000227187308,338.7822390901463,348.48841261360184,297.4585103840815,335.1275642385868,101.81666886346,323.3460415637358,347.4566660792014,28.574889153506245,33.44980212280208,24.44265019990696,30.651767318114054,38.56757878921725,30.239449556718203,34.10025171438269,28.29943485722687,31.27942644198838,36.90899363394409,42.01049015611008,33.12019577598185,492.2627131411032
Amy Lucas,1993-07-06,29,2,1,336471,Tel_Aviv_Yaffo,dcharles@collins.com,&QTNTMAd_0,1,488.8407183180272,642.0015715144598,208.21599472163743,363.19690257341904,378.3733601917549,413.40462965841976,590.9726095463274,228.0536008863228,543.1698075487011,233.738761375674,319.97550836170427,476.4556379211765,39.18737973882149,48.70089923302483,43.89970568161607,43.06651185130072,39.40638237483574,35.33234651707023,48.90896382897023,48.81405643060211,51.64797197565548,44.020729289721416,38.1877220009863,42.94088079441563,1090.3684518693608
Elijah Clark,1982-08-11,40,2,1,313411,Tel_Aviv_Yaffo,james83@glover-cox.net,5^3SFt9wQH,1,609.5709713430031,687.9432542715023,338.1539914615656,362.3356162550315,500.829433695279,450.671420454376,603.7232207689074,282.9615355749222,504.0516915140829,334.9033928559184,410.2872986300959,583.6706437761297,49.72951678512575,48.394666287265736,47.50374486314534,48.76574020684178,57.47723775535383,38.46976128129138,46.10903064243323,44.45238920773684,25.91537310484168,40.787966175427904,44.88767609377615,36.72634332819243,1025.4321075544915
Susan Nielsen MD,1974-09-15,48,2,1,310214,Tel_Aviv_Yaffo,tyler24@yahoo.com,t1hqYgoS_2,1,753.146370527851,672.089975749676,270.5377385417458,336.17033214018943,508.7385882261746,545.1769613206621,593.2921206717207,418.7612931619055,568.0447089125996,406.748697194068,365.0703495560252,594.9541230926678,35.88215217802574,29.442034699506333,37.59037956609566,42.08750819798505,34.57815437515063,38.55402353973609,41.23446084433904,41.16304192585884,28.290525519445698,39.851866108280205,39.78479947133848,31.71096993560933,1145.6446996517457
Sean George,1979-07-10,43,1,1,264157,Tel_Aviv_Yaffo,aaron17@austin.com,9kw3Vfp+2@,1,593.7775892435689,667.4309714642959,282.9349858374139,356.145233558836,387.3606336876506,399.1276263520475,557.4082912026953,341.9184602364596,493.1544211389602,325.0921524021278,267.89819388495664,471.6533320361783,34.29607252732701,39.72640122743543,31.078417544528204,30.60865015514629,48.83248586182099,38.84010044410999,30.500721661322807,46.24863114345511,41.82716836417437,38.31564616521503,35.482335495127664,21.349764433258333,819.8210952030811
Jane Diaz,1964-04-09,58,4,1,228968,Petah_Tikva,brian38@yahoo.com,Tk7QTUUo$P,1,775.9400242109616,736.0776102691252,506.28314953429503,434.611576298713,647.5658507123354,546.9535667268466,693.687450277604,471.1831028546525,652.9495179558627,607.0835652301103,416.8511628098669,763.6651558238768,45.80703561706405,51.81359542491313,47.03349174122036,53.55612952700274,61.42230861954901,50.296850732714034,56.42160925572255,61.37520329462215,51.7262440975162,57.413369065099495,46.5095492299637,54.38066140982214,658.8284994303954
